Month,total_weight,gonadal_weight,GSI,Status,Immature,Mature,Embryos,Total_length,Standard_length
October,2.463,0.2451,9.951278928,Breeding,94,20,17,57.72,47.94
October,2.848,0.6684,23.46910112,Breeding,125,15,27,55.25,46.94
October,1.8132,0.2916,16.08206486,Breeding,103,4,25,51.44,45.39
October,1.9845,0.5319,26.80272109,Breeding,45,33,28,50.36,41.71
October,1.897,0.0621,3.273589879,Breeding,62,56,13,42.29,34.93
October,1.8537,0.4322,23.3155311,Breeding,54,32,25,52.21,45.09
October,1.416,0.2099,14.82344633,Breeding,37,12,27,47.63,38.25
October,2.5701,0.1889,7.349908564,Breeding,76,70,9,59.6,49.83
October,1.8025,0.3416,18.95145631,Breeding,45,21,39,55.38,46.8
October,2.6407,0.1711,6.479342599,Breeding,35,30,12,60.13,50.54
October,1.8051,0.2583,14.30945654,Breeding,71,42,19,55.33,45.03
October,1.5438,0.1646,10.66200285,Breeding,71,17,13,53.83,45.24
October,1.2485,0.2073,16.60392471,Breeding,56,21,33,51.07,42.97
October,1.5065,0.0767,5.091271158,Breeding,47,30,6,54.13,46.21
October,1.2522,0.1396,11.14837885,Breeding,32,56,13,51.12,40.3
October,1.645,0.177,10.75987842,Breeding,49,50,16,55.46,46.24
November,2.7462,0.2415,8.793969849,Breeding,121,27,39,58.36,48.21
November,1.7138,0.1329,7.754697164,Breeding,58,5,33,50.98,43.16
November,2.0956,0.1999,9.539034167,Breeding,58,32,28,53.48,46.59
November,1.5426,0.4961,32.15998963,Breeding,53,38,13,44.34,38.36
November,1.8333,0.1733,9.452899144,Breeding,36,13,43,53.93,46.19
November,2.6239,0.2787,10.62159381,Breeding,134,42,59,60.9,51.33
November,2.8548,0.2318,8.11965812,Breeding,109,30,34,62.63,53.35
November,1.7393,0.1469,8.445926522,Breeding,59,11,31,53.16,44.77
November,1.873,0.1622,8.659903897,Breeding,49,22,35,57.55,46.13
November,2.3004,0.251,10.91114589,Breeding,99,27,28,58.28,51.7
November,1.7216,0.1044,6.064126394,Breeding,28,32,28,50.59,42.32
November,2.1527,0.181,8.40804571,Breeding,0,14,30,57.36,48.67
November,1.9243,0.1675,8.704463961,Breeding,56,8,36,55.16,47.71
December,5.6688,0.7879,13.89888513,Breeding,65,22,77,73.28,65.22
December,3.8746,0.9462,24.42058535,Breeding,55,21,51,65.84,55.98
December,2.9196,0.4228,14.48143581,Breeding,48,18,52,62.88,53.64
December,1.9822,0.2462,12.42054283,Breeding,53,16,28,57.96,49.53
December,1.0783,0.118,10.94315126,Breeding,61,12,19,47.42,39.29
December,1.0537,0.085,8.066812186,Breeding,42,9,23,45.22,35.73
December,0.6272,0.0398,6.345663265,Breeding,41,7,18,41.61,34.75
January,2.968,0.2692,9.070080863,Breeding,94,0,36,65.33,55.27
January,2.1485,0.124,5.771468466,Breeding,47,4,27,58.67,50.37
January,2.3141,0.205,8.858735578,Breeding,102,0,30,56.4,46.82
January,1.9544,0.1637,8.375972165,Breeding,116,15,34,54.93,46.34
January,2.0945,0.1608,7.67724994,Breeding,53,2,19,57.2,49.91
January,1.3987,0.0394,2.816901408,Breeding,98,35,3,49.34,41.11
January,1.7587,0.171,9.723090919,Breeding,60,16,30,52.19,43.18
January,1.957,0.2506,12.80531426,Breeding,91,5,33,53.48,44.81
January,1.5639,0.0537,3.433723384,Breeding,42,18,6,54.16,47.73
January,0.6454,0.021,3.253796095,Breeding,24,4,11,42.29,33.89
February,6.7046,1.8038,26.90391671,Breeding,82,17,38,69.25,60.58
February,4.3759,0.4296,9.81740899,Breeding,72,12,22,62.01,53.55
February,3.8342,0.1097,2.861092275,Breeding,52,9,13,61.91,53.99
February,4.8198,0.183,3.796838043,Breeding,86,6,19,64.68,55.88
February,4.6895,0.3601,7.678857021,Breeding,92,21,24,65.53,57.39
February,4.297,0.3971,9.241331161,Breeding,116,5,16,62.49,54.09
February,6.9841,2.252,32.24467004,Breeding,102,8,42,69.98,61.05
February,5.8311,0.477,8.180274734,Breeding,91,13,36,67.36,60.76
February,6.3616,1.8314,28.78835513,Breeding,63,6,41,67.78,57.73
February,6.4989,2.0299,31.23451661,Breeding,82,9,32,68.95,60.78
February,8.314,2.394,28.79480395,Breeding,52,12,51,73.78,63.83
February,4.3957,0.4499,10.23500239,Breeding,105,16,31,61.97,55.34
February,6.6543,2.3774,35.72727409,Breeding,82,7,45,69.84,61.81
February,4.7826,0.2543,5.317191486,Breeding,62,5,18,68.1,58.81
February,9.1968,2.4097,26.20150487,Breeding,47,3,43,75.88,66.29
February,4.138,0.3305,7.986950217,Breeding,82,0,29,62.69,54.77
February,4.2584,0.3401,7.986567725,Breeding,92,11,23,62.31,54.37
February,2.3875,0.0655,2.743455497,Breeding,62,9,27,55.48,47.65
